Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-02-23T15:09:24.071328Z,PLUG,SELL - MARKET,2,$43.52,$87.03,USD,1.2149
2021-02-23T15:11:48.243266Z,GOOGL,BUY - MARKET,0.05,"$2,020",$101,USD,1.2155
2021-02-23T15:12:45.470736Z,TIGR,SELL - MARKET,3,$27.02,$81.04,USD,1.2159
2021-02-23T15:13:32.023689Z,GME,SELL - MARKET,1.5,$43.07,$64.60,USD,1.2157
2021-02-23T15:13:46.356484Z,MSFT,BUY - MARKET,0.5,$231.78,$115.89,USD,1.2156
2021-02-23T15:14:18.283991Z,ENPH,SELL - MARKET,0.7,$159,$111.29,USD,1.2152
2021-02-23T15:17:23.557490Z,AMZN,BUY - MARKET,0.01213,"$3,128.61",$37.95,USD,1.2152
2021-02-23T15:18:49.486798Z,SPWRQ,SELL - MARKET,2,$31.56,$63.11,USD,1.2149
2021-02-23T15:19:09.361755Z,XPEV,SELL - MARKET,2.5,$35.08,$87.68,USD,1.2151
2021-02-23T15:20:37.769385Z,BLK,BUY - MARKET,0.1,$691.70,$69.17,USD,1.2149
2021-02-23T15:21:12.130647Z,BILI,SELL - MARKET,0.49999999,$122.88,$61.43,USD,1.215
2021-02-23T15:22:09.752499Z,NVDA,BUY - MARKET,0.2,$550.45,$110.09,USD,1.2151
2021-02-23T15:22:48.021822Z,PYPL,BUY - MARKET,0.3,$263.80,$79.14,USD,1.2151
2021-02-23T15:23:47.229993Z,BABA,BUY - MARKET,0.1,$248.30,$24.83,USD,1.2152
2021-02-23T15:27:41.416729Z,REGI,SELL - MARKET,1.5,$91.04,$136.55,USD,1.2159
2021-02-23T15:28:05.212359Z,META,BUY - MARKET,0.3,$264.93,$79.48,USD,1.2158
2021-02-23T15:28:33.528336Z,AMZN,BUY - MARKET,0.02,"$3,151.50",$63.03,USD,1.2158
2021-02-23T15:29:06.120707Z,XPEV,SELL - MARKET,1,$35.69,$35.68,USD,1.2157
2021-02-23T15:29:57.729916Z,TSLA,BUY - MARKET,0.1,$691.70,$69.17,USD,1.2161
2021-02-23T15:31:32.739616Z,BILI,SELL - MARKET,0.5,$124.22,$62.10,USD,1.2164
2021-02-23T15:33:14.054680Z,NVAX,SELL - MARKET,0.2,$228.55,$45.70,USD,1.2162
2021-02-23T15:33:27.687805Z,MRNA,SELL - MARKET,0.2,$143.65,$28.72,USD,1.2161
2021-02-23T15:34:10.670238Z,PYPL,BUY - MARKET,0.5,$264.10,$132.05,USD,1.2163
2021-02-23T15:34:28.006592Z,ROKU,SELL - MARKET,0.2,$410.35,$82.06,USD,1.2163
2021-02-23T15:34:51.205291Z,XPEV,SELL - MARKET,1,$35.31,$35.30,USD,1.2164
2021-02-23T15:35:51.351072Z,AAPL,BUY - MARKET,0.5,$122.72,$61.36,USD,1.2169
2021-02-23T15:40:49.011950Z,JD,BUY - MARKET,0.61339897,$96.43,$59.15,USD,1.2163
2021-02-23T17:43:59.245878Z,PLUG,SELL - MARKET,3,$44.75,$134.24,USD,1.2146
2021-02-23T17:46:06.486132Z,TSLA,SELL - MARKET,0.2,$671.65,$134.32,USD,1.2148
2021-02-23T18:02:56.165553Z,KO,BUY - MARKET,5,$50.87,$254.35,USD,1.2149
2021-02-23T18:06:00.134883Z,REGI,SELL - MARKET,0.5,$90.40,$45.19,USD,1.215
2021-02-23T18:08:52.881447Z,BIDU,SELL - MARKET,0.1,$307.50,$30.74,USD,1.2149
2021-02-23T18:11:24.681781Z,GOOGL,BUY - MARKET,0.05,"$2,027.60",$101.38,USD,1.215
2021-02-24T23:23:35.836170Z,,CASH TOP-UP,,,$100,USD,1.2171
2021-02-25T14:30:20.633753Z,KO,SELL - MARKET,1,$50.39,$50.38,USD,1.2228
2021-02-25T14:30:27.591245Z,AAPL,SELL - MARKET,1,$124.30,$124.29,USD,1.2227
2021-02-25T14:30:45.973332Z,GOOGL,SELL - MARKET,0.05,"$2,065.60",$103.27,USD,1.2223
2021-02-25T14:39:19.884285Z,BB,BUY - MARKET,5,$11.73,$58.65,USD,1.223
2021-02-25T14:39:33.555460Z,GME,BUY - MARKET,2,$149.03,$298.06,USD,1.2232
2021-02-25T14:41:00.135232Z,GME,SELL - MARKET,2,$133,$265.98,USD,1.2235
2021-02-25T14:44:09.142691Z,BB,SELL - MARKET,5,$11.26,$56.29,USD,1.2239
2021-02-25T15:02:49.779667Z,GME,BUY - MARKET,2,$114.76,$229.52,USD,1.224
2021-02-25T16:43:48.077377Z,BKNG,BUY - MARKET,0.049,"$2,304.69",$112.93,USD,1.2226
2021-02-25T17:34:13.737184Z,REGI,SELL - MARKET,0.5,$87.24,$43.61,USD,1.2233
